"","disasterNumber","declarationDate","incidentType","pwNumber","applicationTitle","applicantId","damageCategoryCode","dcc","damageCategory","projectSize","county","countyCode","state","stateCode","stateNumberCode","projectAmount","federalShareObligated","totalObligated","obligatedDate","hash","lastRefresh","id"
"1052",1292,"1999-09-16T04:00:00.000Z","Hurricane",1118,"PUBLIC BUILDINGS AND FACILITIES","127-57500-00","E - Public Buildings","E","Public Buildings","Small","Nash",127,"North Carolina","NC",37,5170,4653,4728.21,"2000-01-21T20:29:22.000Z","63ffbf867c0bca0821218e2a73f06c70","2020-06-15T11:19:34.677Z","5ee75946556129600dd56d9d"
"1053",1292,"1999-09-16T04:00:00.000Z","Hurricane",1120,"ROADS AND BRIDGES","127-57500-00","C - Roads and Bridges","C","Roads and Bridges","Small","Nash",127,"North Carolina","NC",37,21966.3,19769.68,20310.06,"1999-12-02T18:35:51.000Z","8d2fcc82642a61f83d74266b3cfa16ca","2020-06-15T11:19:34.678Z","5ee75946556129600dd56d9e"
"1054",1292,"1999-09-16T04:00:00.000Z","Hurricane",1121,"ROADS AND BRIDGES","127-57500-00","C - Roads and Bridges","C","Roads and Bridges","Small","Nash",127,"North Carolina","NC",37,10679.14,9611.23,9873.94,"1999-12-02T18:35:51.000Z","4461cba807a8f5e668f5dbeb4342bd33","2020-06-15T11:19:34.679Z","5ee75946556129600dd56d9f"
"1055",1292,"1999-09-16T04:00:00.000Z","Hurricane",1122,"PUBLIC UTILITIES","127-57500-00","F - Public Utilities","F","Public Utilities","Large","Nash",127,"North Carolina","NC",37,196321.01,176688.91,179831.55,"2000-05-10T17:07:05.000Z","9696e7a964baa6cb30f6363b083d667a","2020-06-15T11:19:34.680Z","5ee75946556129600dd56da0"
"1056",1292,"1999-09-16T04:00:00.000Z","Hurricane",1123,"PUBLIC UTILITIES","127-57500-00","F - Public Utilities","F","Public Utilities","Large","Nash",127,"North Carolina","NC",37,1064937.44,958443.7,969105.28,"2000-05-10T17:07:05.000Z","6ea899826fa2254e9c61506a172c0016","2020-06-15T11:19:34.690Z","5ee75946556129600dd56da1"
"1057",1292,"1999-09-16T04:00:00.000Z","Hurricane",1124,"PUBLIC UTILITIES","127-57500-00","F - Public Utilities","F","Public Utilities","Large","Nash",127,"North Carolina","NC",37,317236.88,285513.2,288534.89,"2000-05-10T17:07:05.000Z","e15ec7c633dde1a5334f022376f13527","2020-06-15T11:19:34.691Z","5ee75946556129600dd56da2"
"1058",1292,"1999-09-16T04:00:00.000Z","Hurricane",1125,"PUBLIC UTILITIES","127-57500-00","F - Public Utilities","F","Public Utilities","Large","Nash",127,"North Carolina","NC",37,719910.79,647919.71,654776.86,"2000-05-10T17:07:05.000Z","fae1f28cc7c28f388ad05f2619d0eb79","2020-06-15T11:19:34.692Z","5ee75946556129600dd56da3"
"1059",1292,"1999-09-16T04:00:00.000Z","Hurricane",1126,"PUBLIC UTILITIES","127-57500-00","F - Public Utilities","F","Public Utilities","Large","Nash",127,"North Carolina","NC",37,825106.64,742595.98,750455.12,"2000-05-15T18:31:14.000Z","2f7740e381780e7c14cea131858640c9","2020-06-15T11:19:34.693Z","5ee75946556129600dd56da4"
"1060",1292,"1999-09-16T04:00:00.000Z","Hurricane",1127,"PUBLIC UTILITIES","127-57500-00","F - Public Utilities","F","Public Utilities","Large","Nash",127,"North Carolina","NC",37,109193.18,98273.86,99313.92,"2000-05-10T17:07:05.000Z","7985eac6f6a20d89722fcb6dfe6dda45","2020-06-15T11:19:34.694Z","5ee75946556129600dd56da5"
"1061",1292,"1999-09-16T04:00:00.000Z","Hurricane",1128,"PUBLIC UTILITIES","127-57500-00","F - Public Utilities","F","Public Utilities","Large","Nash",127,"North Carolina","NC",37,592803.71,533523.34,539169.79,"2000-05-10T17:07:05.000Z","1999ba2bae1015cfe97e8913a386713e","2020-06-15T11:19:34.695Z","5ee75946556129600dd56da6"
"1062",1292,"1999-09-16T04:00:00.000Z","Hurricane",1129,"PUBLIC UTILITIES","127-57500-00","F - Public Utilities","F","Public Utilities","Large","Nash",127,"North Carolina","NC",37,270567.7,243510.93,246088.09,"2000-05-15T18:31:14.000Z","712676742df841724ec72aa8847388a8","2020-06-15T11:19:34.696Z","5ee75946556129600dd56da7"
"1063",1292,"1999-09-16T04:00:00.000Z","Hurricane",1130,"DEBRIS REMOVAL","079-62760-00","A - Debris Removal","A","Debris Removal","Small","Greene",79,"North Carolina","NC",37,18987.05,17088.35,17746.25,"1999-12-02T18:35:51.000Z","7c975a899771ec3612e675ac1a82f08c","2020-06-15T11:19:34.698Z","5ee75946556129600dd56da8"
"1064",1292,"1999-09-16T04:00:00.000Z","Hurricane",1131,"EMERGENCY PROTECTIVE MEASURES","065-53840-00","B - Protective Measures","B","Protective Measures","Small","Edgecombe",65,"North Carolina","NC",37,14026.42,12623.78,12968.84,"2000-02-22T20:40:47.000Z","66693b9be26d750503ced5c0f3956405","2020-06-15T11:19:34.699Z","5ee75946556129600dd56da9"
